,ID-piracy,SEG-piracy,ID-license,SEG-license
59,v98mt76du249l1yzt0jqx8abkge5g0kd.mp4,421-650,1eed890f769711c1a21300fa3db33334.mp4,943-1219
60,jcjqwbwhbrqymlkg27l3p06l7meujhup.mp4,55-215,4dbf1e5781face4cfadef43ca2805ce6.mp4,674-842
61,0xoz1lat1gdyb047uwxavc59f8y9jurx.mp4,437-606,77e083ccd314cbb52a8ce4edcdf5f57f.mp4,750-920
62,iomkdwvgpaaszxwig484e0sd7dy16pcm.mp4,812-1069,7387e1b257a6f849d12759beb83c5788.mp4,925-1183
63,tscr30hd4l2skosf1l4zckpvjh764n6v.mp4,4-1373,dd5057dd0fdd79ca5e699a5502a4b76f.mp4,4-1347
64,tbunndd7zq863vb5nke28f5jkte7y2f7.mp4,501-633,1ab5b5f3d12507435efc2e5253339f30.mp4,528-704
65,h3xjbft8z2f88dyyxnnzyptmaq7f860l.mp4,815-1016,cd25c8d9c603817d3dd263e61c5132c4.mp4,757-958
66,leojlwwud7gnt9bv2aumijqjlfigaxbl.mp4,494-656,9434da06a7368bedb31e4a48eaccd9ea.mp4,1186-1392
67,9j937q9dwb2om790bcs492n5ovmwdg9o.mp4,219-261,a7f3abafc0ea6ea19a70e4af6bbde13f.mp4,88-128
68,xd2twz6trhj4divosd8fkmn27vqdhvl3.mp4,1039-1071,a12eeb1aaff250bb4e7755042726477c.mp4,118-147
69,3ozo5n5b2xk0bbcedoqc7altdhsja227.mp4,460-561,ded3d179001b3f679a0101be95405d2c.mp4,130-237
70,2vhjajxtnbu3fxmj4fh34u9jn846m0ui.mp4,409-520,a0c9cc64088f25405de0588ec7a4caba.mp4,1075-1185
71,nulo63x3d6h1g0gxumgobd07e3tb378f.mp4,622-787,2cf3241929c3a2e03d76cb90b6f7740b.mp4,793-965
72,1akl2ypl4v4g93nchv6p25itksotlpbn.mp4,413-701,023114a7952a10d21c3d5c177b5a8351.mp4,767-1094
